Participant Name,Twitter,Birthday Message
Seeby,@stillapotatoyee,"Happy birthday Leader, I hope your birthday celebrations go swimmingly! Fishing you a joyful day with lots of tasty food, presents and continuous success through out the years."
Semiluminary,@semiluminary,"Happy Birthday, Altare! May your day (and year) be full of great streams, fun adventures, friendly dogs, and delicious food!"
Sena,@senaama1,"Altare it's your birthday! Thank you for all the fun times in the last year, I wish you nothing but good health and luck, and I can't wait to go on more adventures with you!"
Shiitake,@Water_MizOri,"Happy Birthday, Leader! This is the 2nd time you have celebrated your birthday here. I wish you happiness and success, and everything you do turns out great with ""flying"" colors! lol"
SiBa ,@saltyrapperc8,"This is the second time celebrating your birthday :D I'm thrilled to have your stream bringing laughter into my life throughout the year. Thank you for all your efforts. I'll continue to support you as you chase your dreams. Happy birthday, Altare!"
Skylimit Art,@SkylimitA,
Solis,@yencoincat,"heres to another birthday, happy birthday leader! thanks for all the memories and i hope we get to celebrate more!"
Spur,@lurkn_ssprdyllc,"Otsu otsu Leader! Happy Birthday!!! Hoping that your hard work gets rewarded, perms get granted, your food always tastes really good, your charger doesnt only work in one angle, that Legos attack your enemies, you have a lot more fun adventures, and that you receive whatever you've been wishing for!"
StormfallSails,@StormfallSails,
Tootles,@tootlini,"Happy 21, season 3!!! Congrats on making it through another year, our Holostarfish. I hope the next year goes even more swimmingly and you continue to ""seas"" the day, everyday. Be a little shellfish and treat yourself to all the things that make you happy on this special day. We lump you!"
vercy,@vercities,
wiindouw,@wiindouw_,Happy Birthday to our coolest and most amazing leader!! I’m very thankful to have you and the Altventurers as a part of my life so thank you for everything you do and every hard work you’ve done for all of us!!
wingess,@wingzz71,"Wishing you the happiest of birthdays, Leader! Here's to more adventures, laughter, and joy with altventurers!"
yukinayee,@_yukinayee,"Happy happy birthday, leader! Hope you have a wonderful year ahead, and i hope you get to go fishing with the boys one day!"
Zen,@Zendria000,"Happy Birthday, Altare."
